"H0004900","H0005001","R0000100","R0009600","R0173600","R0214800","T1298000","T1298100","T1298200","T1298300","T1298400","T2056800","T2056900","T2057000","T2057700","T2057800","T2209900","T2210000","T2210800","T2212300","T2217800","T2326500","T2326600","T2326700","T2326800","T2326900","T3027200","T3027300","T3027400","T3028100","T3028200","T3107700","T3107800","T3110200","T3115800","T3308700","T3308800","T3308900","T3309000","T3309100","T3958000","T3958100","T3958200","T3958900","T3959000","T4112200","T4112300","T4114700","T4120300","T4282800","T4282900","T4283000","T4283100","T4283200","T4895700","T4895800","T4895900","T4896600","T4896700","T5022500","T5022600","T5026000","T5031500","T5256900","T5257000","T5257100","T5257200","T5257300","T5599700","T5599800","T5599900","T5600600","T5600700","T5770700","T5770800","T5774100","T5779700","T8428300","T8428400","T8428500","T8428600","T8428700","T8624900","T8625300","T8625400","T8787800","T8787900","T8790500","T8796100","T8982400","T8982500","T8982600","T8982700","T8982800","T9183100","T9183800","T9183900","T9299600","T9299700","T9302300","T9307900"
0,-4,3981,29,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,3982,3,6,2,-4,-4,-4,-4,-4,1,1,2,0,2,1,14160,49,2,0,-4,-4,-4,-4,-4,1,1,1,0,2,5,-2,2,1,-4,-4,-4,-4,-4,1,2,4,0,2,2,41844,2,0,-4,-4,-4,-4,-4,1,2,3,0,2,1,15132,2,0,-4,-4,-4,-4,-4,1,1,5,0,1,2,19226,2,0,-4,-4,-4,-4,-4,-4,0,2,4,-3,2,1,-4,-4,-4,-4,-4,1,0,2,3,76400,2,1
-4,-4,3983,3,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,3984,3,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,3985,9,1,1,-4,-4,-4,-4,-4,4,0,0,2,2,2,52671,50,2,0,-4,-4,-4,-4,-4,4,0,0,0,2,2,19680,2,0,-4,-4,-4,-4,-4,3,5,5,0,2,2,52036,1,0,-4,-4,-4,-4,-4,4,3,3,3,2,2,58860,1,0,-4,-4,-4,-4,-4,1,3,3,0,2,2,36768,3,0,-4,-4,-4,-4,-4,1,0,2,2,43212,1,0,-4,-4,-4,-4,-4,1,1,2,2,67560,1,0
0,-4,3986,5,5,2,4010,310,-4,-4,-4,1,1,1,0,2,3,20000,50,2,1,4010,-4,-4,-4,-4,1,1,1,0,2,3,40000,2,1,4010,-4,-4,-4,-4,1,1,1,0,1,2,48000,2,0,4010,-4,-4,-4,-4,4,1,1,0,1,2,-2,2,0,430,-4,-4,-4,-4,4,1,1,0,2,2,55000,2,0,430,-4,-4,-4,-4,-4,-4,-4,2,24000,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,3987,1,3,1,5620,3650,-4,-4,-4,4,5,5,4,2,2,45000,46,3,0,5620,3650,-4,-4,-4,4,5,5,4,2,2,53000,3,0,5620,3650,-4,-4,-4,4,5,5,7,2,2,54000,3,0,5620,3650,-4,-4,-4,3,5,4,7,2,2,66000,3,0,5620,3650,-4,-4,-4,3,5,5,8,2,2,65000,3,0,5620,-4,-4,-4,-4,-4,7,2,2,66000,3,0,5620,-4,-4,-4,-4,3,0,2,2,50200,3,0
0,-4,3988,1,7,2,-4,-4,-4,-4,-4,1,5,5,5,2,3,65000,48,3,1,5120,-4,-4,-4,-4,1,3,5,3,2,3,-2,3,1,5120,5120,5120,-4,-4,1,5,5,0,2,2,160000,3,0,5120,-4,-4,-4,-4,3,3,3,4,2,2,187992,3,0,5120,-4,-4,-4,-4,1,2,2,0,2,2,130860,3,0,5120,10,-4,-4,-4,-4,0,2,2,235000,3,0,5120,120,-4,-4,-4,1,0,2,2,246360,3,0
0,-4,3989,3,1,1,3820,-4,-4,-4,-4,4,1,1,5,2,4,50500,44,2,2,3910,-4,-4,-4,-4,4,1,1,7,2,4,64000,2,2,3910,-4,-4,-4,-4,3,1,1,0,2,4,-2,2,2,3910,-4,-4,-4,-4,1,1,1,7,2,4,-2,2,2,-4,-4,-4,-4,-4,1,1,1,7,2,3,-2,2,1,-4,-4,-4,-4,-4,-4,0,2,1,-3,2,0,-4,-4,-4,-4,-4,4,7,2,1,49764,2,2
-4,-4,3990,3,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,3991,3,5,2,-4,-4,-4,-4,-4,1,5,3,7,1,1,7476,46,2,0,-4,-4,-4,-4,-4,1,3,5,10,1,2,30088,3,0,-4,-4,-4,-4,-4,3,5,5,7,2,3,19920,2,1,-4,-4,-4,-4,-4,4,5,5,3,1,3,20520,2,1,-4,-4,-4,-4,-4,3,2,1,3,1,1,8796,2,0,-4,-4,-4,-4,-4,-4,21,2,1,19280,2,0,-4,-4,-4,-4,-4,4,3,1,1,27988,2,0
0,-4,3992,5,5,2,4850,5120,-4,-4,-4,1,1,1,0,2,2,91000,51,2,0,4850,5120,-4,-4,-4,3,1,1,0,2,2,92000,2,0,4850,-4,-4,-4,-4,1,1,1,0,2,2,100000,2,0,4850,-4,-4,-4,-4,3,1,1,0,1,2,105000,2,0,4850,-4,-4,-4,-4,1,1,1,0,2,2,117000,2,0,5700,-4,-4,-4,-4,-4,0,2,2,124000,2,0,5700,-4,-4,-4,-4,3,0,2,2,118000,2,0
0,-4,3993,9,5,2,9130,9130,-4,-4,-4,1,2,2,0,2,3,37000,50,3,0,9130,-4,-4,-4,-4,3,1,3,0,2,3,-2,3,0,9130,-4,-4,-4,-4,3,1,1,0,2,1,34000,3,0,9130,-4,-4,-4,-4,3,1,1,1,2,1,41500,3,0,3920,9130,-4,-4,-4,1,1,1,0,2,1,28440,3,0,4610,4610,5400,4020,-4,-4,0,2,2,37932,3,1,4610,-4,-4,-4,-4,4,0,2,1,20976,3,0
0,-4,3994,3,1,1,4140,9620,8600,-4,-4,1,5,5,5,1,1,17994,43,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6050,4350,9620,-4,-4,4,4,5,4,1,1,24000,2,0,6050,6050,-4,-4,-4,1,5,5,1,1,1,11500,2,0,9620,4350,6050,-4,-4,4,7,2,1,13825,3,0,9130,4760,4340,-4,-4,4,1,1,3,25000,3,1
0,-4,3995,1,7,2,350,350,-4,-4,-4,1,1,4,0,2,1,66000,46,2,0,350,350,-4,-4,-4,3,5,5,0,2,1,58000,2,0,350,350,-4,-4,-4,1,1,4,0,2,1,68500,3,0,110,350,-4,-4,-4,4,2,2,3,2,1,66500,2,0,110,-4,-4,-4,-4,1,1,1,0,2,1,75000,2,0,110,-4,-4,-4,-4,-4,-4,-4,2,-3,2,0,110,-4,-4,-4,-4,1,0,2,2,-3,2,0
0,-4,3996,1,7,2,5810,730,-4,-4,-4,3,5,5,7,2,2,42000,44,2,1,5810,-4,-4,-4,-4,4,5,5,14,2,3,44500,2,2,5930,-4,-4,-4,-4,4,5,5,3,1,1,44000,2,0,5930,-4,-4,-4,-4,3,5,5,1,1,1,34000,2,0,620,5700,5930,-4,-4,4,5,5,2,2,1,10000,2,0,5240,4000,-4,-4,-4,-4,-4,-4,2,-3,3,0,5240,5240,5240,-4,-4,4,0,2,2,28800,3,0
0,-4,3997,1,7,2,-4,-4,-4,-4,-4,3,4,4,0,2,2,10540,49,3,0,-4,-4,-4,-4,-4,4,4,4,1,2,3,-1,3,0,-4,-4,-4,-4,-4,1,1,4,3,2,3,4620,3,0,-4,-4,-4,-4,-4,1,5,5,1,2,2,5052,3,0,-4,-4,-4,-4,-4,1,3,3,1,2,2,11391,3,0,-4,-4,-4,-4,-4,-4,-4,-4,2,-3,3,0,-4,-4,-4,-4,-4,3,0,2,2,5760,3,0
0,-4,3998,5,5,2,-4,-4,-4,-4,-4,1,3,4,2,1,1,9996,49,3,0,-4,-4,-4,-4,-4,4,5,5,2,1,5,-2,3,0,-4,-4,-4,-4,-4,4,5,4,7,2,5,-2,3,0,-4,-4,-4,-4,-4,1,5,5,2,1,1,11220,3,0,-4,-4,-4,-4,-4,1,3,5,1,1,1,11424,3,0,5620,-4,-4,-4,-4,4,-4,-4,1,-3,3,0,5620,-4,-4,-4,-4,3,14,2,1,36400,3,0
1,2004,3999,23,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,4000,23,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,4001,5,5,2,4020,-4,-4,-4,-4,1,3,2,2,2,4,30770,45,3,2,-4,-4,-4,-4,-4,1,2,2,7,2,3,33419,3,1,-4,-4,-4,-4,-4,4,2,2,0,2,2,31525,3,0,-4,-4,-4,-4,-4,4,1,1,1,2,2,30000,3,0,-4,-4,-4,-4,-4,1,1,1,0,2,2,32000,3,0,-4,-4,-4,-4,-4,-4,1,2,2,33000,3,0,-4,-4,-4,-4,-4,1,0,2,2,25000,3,0
-2,-4,4002,3,5,2,2310,-4,-4,-4,-4,4,5,5,7,2,2,38172,44,2,1,4110,2310,-4,-4,-4,4,5,5,7,2,2,28000,2,1,2310,4110,-4,-4,-4,3,5,5,7,2,2,32000,3,1,2300,2310,-4,-4,-4,4,1,1,7,2,2,30000,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,4003,11,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,4004,6,1,1,2900,-4,-4,-4,-4,1,3,3,3,2,3,112000,49,2,1,2900,-4,-4,-4,-4,1,3,4,3,2,4,60000,2,1,2900,-4,-4,-4,-4,1,3,4,0,2,2,56000,2,0,2900,-4,-4,-4,-4,1,3,3,0,1,2,75500,2,0,2900,-4,-4,-4,-4,1,3,3,2,2,3,110200,2,1,2900,-4,-4,-4,-4,-4,-4,-4,2,122850,2,0,2900,-4,-4,-4,-4,1,0,2,2,87600,2,0
0,-4,4005,1,7,2,5420,-4,-4,-4,-4,4,1,2,7,2,1,34000,48,3,0,5420,-4,-4,-4,-4,1,1,1,1,2,1,-1,3,0,-4,-4,-4,-4,-4,4,1,1,0,2,1,-2,3,0,-4,-4,-4,-4,-4,1,1,1,0,2,1,-1,3,0,-4,-4,-4,-4,-4,1,3,3,1,1,1,-1,3,0,-4,-4,-4,-4,-4,-4,-4,-4,3,-3,3,0,-4,-4,-4,-4,-4,1,0,2,3,-3,3,0
0,-4,4006,1,3,1,3310,-4,-4,-4,-4,3,5,5,2,2,3,113080,44,2,1,3310,3310,-4,-4,-4,4,5,5,2,2,3,119000,2,1,3310,-4,-4,-4,-4,4,5,5,4,2,3,130600,2,1,3310,3310,-4,-4,-4,3,4,4,1,1,3,116400,2,1,3310,-4,-4,-4,-4,4,5,5,5,2,3,125400,2,1,3310,-4,-4,-4,-4,-4,7,2,3,223800,2,1,350,-4,-4,-4,-4,4,3,2,3,272200,2,1
0,-4,4007,-3,7,2,2000,3850,-4,-4,-4,1,4,4,3,2,3,49960,48,3,1,3800,-4,-4,-4,-4,1,1,1,1,2,2,44000,3,1,3800,-4,-4,-4,-4,1,3,3,2,2,1,24000,3,0,3800,3920,-4,-4,-4,4,2,3,5,2,3,58200,3,1,3800,-4,3920,-4,-4,1,3,3,4,2,3,78000,3,1,-4,-4,-4,-4,-4,-4,4,2,5,25200,3,2,-4,-4,-4,-4,-4,4,3,2,3,43200,3,1
0,-4,4008,1,3,1,9130,9130,-4,-4,-4,1,2,2,0,2,4,154000,50,2,2,9130,9130,-4,-4,-4,1,3,3,0,2,4,161000,2,2,9130,9130,-4,-4,-4,1,3,3,0,2,4,-2,2,2,9130,9130,-4,-4,-4,1,2,2,15,2,1,82000,3,0,9130,9130,-4,-4,-4,1,5,5,4,2,2,82000,3,0,9130,9130,-4,-4,-4,-4,3,1,1,71000,3,0,9130,-4,-4,-4,-4,1,14,2,1,102000,3,0
0,-4,4009,3,1,1,8620,-4,-4,-4,-4,1,1,2,1,2,3,25100,43,4,2,6350,8620,-4,-4,-4,1,1,1,0,2,1,29892,2,0,1550,7330,-4,-4,-4,1,1,2,1,2,2,57800,2,0,1550,-4,-4,-4,-4,1,1,1,7,2,2,85000,2,0,1550,-4,-4,-4,-4,1,1,1,2,2,3,82000,2,1,1550,-4,-4,-4,-4,-4,2,2,2,59640,2,0,6350,-4,-4,-4,-4,1,1,2,2,47101,2,0
0,-4,4010,4,1,1,2000,420,-4,-4,-4,1,1,1,0,2,1,55000,43,3,0,2000,420,-4,-4,-4,1,1,3,0,2,1,55000,3,0,2000,420,420,-4,-4,3,1,1,0,2,1,73000,3,0,2000,420,-4,-4,-4,1,1,2,0,2,1,70000,3,0,2000,3240,420,-4,-4,1,2,2,0,2,1,72000,3,0,2000,3240,-4,-4,-4,-4,0,1,1,147200,3,0,2000,3240,-4,-4,-4,1,1,2,1,189000,3,0
0,-4,4011,3,1,1,9620,-4,-4,-4,-4,3,5,3,5,1,3,41000,47,1,1,9620,-4,-4,-4,-4,4,5,5,12,1,4,37400,1,2,8810,-4,-4,-4,-4,2,5,5,5,1,1,15000,1,0,-4,-4,-4,-4,-4,4,5,5,2,1,1,2208,1,0,-4,-4,-4,-4,-4,4,5,5,5,1,1,24232,1,0,-4,-4,-4,-4,-4,-4,-4,-4,1,15600,1,0,-4,-4,-4,-4,-4,1,7,2,1,16600,3,0
0,-4,4012,6,5,2,-4,-4,-4,-4,-4,1,1,4,6,1,1,12000,45,1,0,-4,-4,-4,-4,-4,1,2,4,1,1,1,13400,1,0,-4,-4,-4,-4,-4,1,1,1,2,2,1,8280,1,0,-4,-4,-4,-4,-4,1,2,1,7,2,2,13800,1,0,-4,-4,-4,-4,-4,1,2,2,3,1,2,15072,1,0,-4,-4,-4,-4,-4,1,1,1,1,9396,1,0,-4,-4,-4,-4,-4,1,7,2,2,27000,1,0
0,-4,4013,4,1,1,4240,9130,-4,-4,-4,3,1,1,2,2,1,40000,46,3,0,9130,4240,-4,-4,-4,4,3,3,4,2,1,40000,3,0,4240,9130,-4,-4,-4,4,1,2,0,2,1,35000,2,0,4240,-4,-4,-4,-4,3,3,3,0,2,1,39000,2,0,4240,-4,-4,-4,-4,3,2,2,0,2,3,103000,2,0,4240,-4,-4,-4,-4,-4,0,2,3,78000,2,0,4240,4240,-4,-4,-4,3,0,2,1,55500,3,0
0,-4,4014,4,1,1,600,9130,6200,-4,-4,1,4,4,7,2,4,85000,44,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,600,-4,-4,-4,-4,1,3,3,4,2,4,86500,2,2,600,-4,-4,-4,-4,4,4,4,4,2,4,85000,2,2,600,-4,-4,-4,-4,3,4,4,4,2,5,84800,2,2,600,-4,-4,-4,-4,-4,-4,-4,3,105000,2,1,6510,-4,-4,-4,-4,3,3,2,3,86000,2,1
0,-4,4015,1,7,2,5620,-4,-4,-4,-4,4,3,3,2,2,6,52000,45,2,3,5620,-4,-4,-4,-4,1,3,3,1,2,6,48000,2,3,5620,-4,-4,-4,-4,1,3,3,0,2,3,73000,2,0,5620,-4,-4,-4,-4,3,1,2,1,2,3,56000,2,0,5620,-4,-4,-4,-4,1,3,3,1,2,3,62000,2,0,5620,-4,-4,-4,-4,-4,-4,-4,6,73580,2,2,5620,-4,-4,-4,-4,4,0,2,7,78000,3,2
0,-4,4016,1,7,2,4700,-4,-4,-4,-4,3,5,2,14,2,1,42000,50,2,0,4700,-4,-4,-4,-4,4,3,5,4,1,4,52000,2,0,4700,-4,-4,-4,-4,4,5,5,2,1,4,-2,2,0,4700,-4,-4,-4,-4,1,5,5,4,2,4,-2,2,0,4700,-4,-4,-4,-4,1,5,5,3,2,1,49000,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,4017,1,7,2,5620,-4,-4,-4,-4,4,5,4,1,2,1,14000,48,2,0,730,-4,-4,-4,-4,1,5,5,0,2,4,-2,2,0,5700,-4,-4,-4,-4,1,4,4,0,2,4,-2,2,0,-4,-4,-4,-4,-4,1,5,5,2,2,3,-2,2,0,4610,-4,-4,-4,-4,1,5,5,0,1,2,15440,2,0,3600,-4,-4,-4,-4,-4,0,2,1,5548,2,0,3600,3600,-4,-4,-4,1,0,2,1,16732,2,0
-4,-4,4018,5,1,1,4020,4760,-4,-4,-4,4,1,1,1,1,2,4140,48,2,0,4020,-4,-4,-4,-4,1,4,1,0,2,2,-2,2,0,430,4760,4020,310,-4,1,5,1,14,2,1,18000,2,0,430,4020,-4,-4,-4,4,5,5,7,2,1,30000,2,0,430,4020,4040,-4,-4,4,5,5,21,2,1,40000,2,0,6200,4040,-4,-4,-4,-4,-4,-4,1,-3,2,1,6200,4040,-4,-4,-4,1,1,2,1,-3,2,1
0,-4,4019,6,5,2,350,-4,-4,-4,-4,3,4,3,2,2,4,180100,47,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,10,-4,-4,-4,-4,1,2,5,0,2,3,248000,2,1,10,-4,-4,-4,-4,3,3,3,5,2,3,280000,2,1,230,-4,-4,-4,-4,1,3,3,2,2,4,-2,2,1,230,-4,-4,-4,-4,-4,-4,-4,6,352000,2,1,10,-4,-4,-4,-4,3,0,2,3,773981,2,0
0,-4,4020,1,3,1,7200,-4,-4,-4,-4,3,5,5,10,1,3,2992,44,1,0,7200,-4,-4,-4,-4,3,5,5,5,1,1,7064,1,0,7200,-4,-4,-4,-4,3,5,5,5,1,1,53400,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7200,-4,-4,-4,-4,1,3,3,6,1,1,0,1,0,7200,-4,-4,-4,-4,-4,-4,-4,2,0,2,0,7200,9600,-4,-4,-4,4,3,1,1,-3,2,0
0,-4,4021,1,7,2,2040,-4,-4,-4,-4,3,5,5,0,2,2,73060,43,3,0,2040,-4,-4,-4,-4,3,5,5,0,1,2,63000,3,0,2010,2040,-4,-4,-4,1,4,4,0,2,2,46000,3,0,2010,-4,-4,-4,-4,1,5,5,0,2,2,55000,3,0,-4,-4,-4,-4,-4,3,5,5,0,1,2,52000,3,0,2040,10,-4,-4,-4,-4,0,2,6,115000,3,1,4960,2040,-4,-4,-4,1,0,1,6,115000,3,1
0,-4,4022,10,1,1,3740,7340,-4,-4,-4,3,4,5,20,2,2,90000,44,2,1,3740,5530,-4,-4,-4,1,5,4,1,1,2,102000,2,1,3740,5530,-4,-4,-4,4,5,4,10,2,2,85000,2,1,6420,3740,5530,-4,-4,4,4,5,4,2,2,5000,2,1,4220,6420,-4,-4,-4,4,5,5,15,2,2,50000,2,1,7410,2800,6230,-4,-4,4,-4,-4,2,90000,2,0,7410,-4,-4,-4,-4,4,5,2,1,20000,2,0
0,-4,4023,6,5,2,130,-4,-4,-4,-4,1,3,3,0,2,4,148100,43,2,2,130,-4,-4,-4,-4,1,2,2,0,2,4,152000,2,2,130,-4,-4,-4,-4,1,3,3,0,2,3,87600,2,2,130,-4,-4,-4,-4,1,5,4,0,2,4,91000,2,2,130,-4,-4,-4,-4,1,5,5,0,2,3,-2,2,1,130,-4,-4,-4,-4,-4,0,2,4,172000,2,2,130,-4,-4,-4,-4,1,1,2,4,262000,2,2
0,-4,4024,3,5,2,-4,-4,-4,-4,-4,1,4,3,0,2,2,-2,50,4,0,-4,-4,-4,-4,-4,1,2,2,0,1,2,33748,4,0,-4,-4,-4,-4,-4,1,2,2,0,1,2,56256,3,0,-4,-4,-4,-4,-4,1,3,3,0,1,2,74584,3,0,-4,-4,-4,-4,-4,3,3,1,0,1,2,40741,2,0,8350,-4,-4,-4,-4,-4,0,2,2,-3,2,0,8350,-4,-4,-4,-4,1,0,2,2,-3,2,0
0,-4,4025,6,1,1,6440,-4,-4,-4,-4,4,5,5,2,1,2,35000,46,2,0,6440,-4,-4,-4,-4,4,5,5,4,2,4,48000,2,2,6440,-4,-4,-4,-4,4,5,5,7,2,4,35000,2,2,-4,-4,-4,-4,-4,4,5,5,1,1,4,52800,2,2,-4,-4,-4,-4,-4,4,5,5,4,1,2,46496,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,3,6,1,2,0,2,0
0,-4,4026,5,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,4027,11,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5700,50,-4,-4,-4,1,1,3,0,2,2,18000,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,4028,29,5,2,910,5100,-4,-4,-4,4,2,5,1,1,2,69000,44,2,0,910,-4,-4,-4,-4,4,2,3,1,1,2,70500,2,0,910,-4,-4,-4,-4,1,1,3,1,1,2,72000,2,0,910,-4,-4,-4,-4,4,3,3,7,2,2,76000,2,0,910,-4,-4,-4,-4,4,2,2,1,1,2,61000,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,4029,6,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,6330,-4,-4,-4,1,3,2,0,2,1,22800,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,4030,3,5,2,5700,-4,-4,-4,-4,1,1,4,3,2,1,-2,48,4,0,5700,-4,-4,-4,-4,1,2,2,1,2,1,-2,4,0,4710,-4,-4,-4,-4,1,2,3,2,2,1,70800,2,0,4710,-4,-4,-4,-4,1,3,4,0,2,1,73700,2,0,5700,-4,-4,-4,-4,1,3,3,7,2,1,76000,2,0,5700,-4,-4,-4,-4,-4,0,1,1,76200,2,0,5700,-4,-4,-4,-4,1,3,2,1,120000,2,0
-4,-4,4031,3,1,1,6050,-4,-4,-4,-4,4,1,1,1,2,3,50000,44,2,1,6050,-4,-4,-4,-4,3,1,1,7,2,3,48000,2,1,6050,-4,-4,-4,-4,4,1,1,1,2,3,55000,2,1,6050,-4,-4,-4,-4,3,1,1,0,1,3,54000,2,1,6050,-4,-4,-4,-4,4,1,1,1,2,3,62000,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,4032,3,1,1,6230,-4,-4,-4,-4,4,4,4,5,2,3,56510,46,1,1,6230,-4,-4,-4,-4,1,5,4,3,2,3,45470,1,1,6230,6240,-4,8960,-4,4,3,4,2,2,3,49160,1,1,600,6240,6230,-4,-4,1,3,3,2,2,3,64500,1,1,600,-4,-4,-4,-4,4,4,4,0,2,3,63010,1,1,600,-4,-4,-4,-4,-4,0,2,2,72430,1,0,600,-4,-4,-4,-4,4,0,2,2,80050,1,0
