"H0004900","H0005001","R0000100","R0009600","R0173600","R0214800","T1298000","T1298100","T1298200","T1298300","T1298400","T2056800","T2056900","T2057000","T2057700","T2057800","T2209900","T2210000","T2210800","T2212300","T2217800","T2326500","T2326600","T2326700","T2326800","T2326900","T3027200","T3027300","T3027400","T3028100","T3028200","T3107700","T3107800","T3110200","T3115800","T3308700","T3308800","T3308900","T3309000","T3309100","T3958000","T3958100","T3958200","T3958900","T3959000","T4112200","T4112300","T4114700","T4120300","T4282800","T4282900","T4283000","T4283100","T4283200","T4895700","T4895800","T4895900","T4896600","T4896700","T5022500","T5022600","T5026000","T5031500","T5256900","T5257000","T5257100","T5257200","T5257300","T5599700","T5599800","T5599900","T5600600","T5600700","T5770700","T5770800","T5774100","T5779700","T8428300","T8428400","T8428500","T8428600","T8428700","T8624900","T8625300","T8625400","T8787800","T8787900","T8790500","T8796100","T8982400","T8982500","T8982600","T8982700","T8982800","T9183100","T9183800","T9183900","T9299600","T9299700","T9302300","T9307900"
0,-4,7295,1,13,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,7296,1,13,2,560,-4,-4,-4,-4,1,2,3,1,2,1,39700,46,2,0,5120,-4,-4,-4,-4,1,2,3,0,2,1,45600,2,0,5250,-4,-4,-4,-4,1,2,2,1,2,1,43000,2,0,2010,-4,-4,-4,-4,1,1,2,2,2,1,42700,2,0,3130,-4,-4,-4,-4,1,2,4,1,2,1,43000,2,0,2010,-4,-4,-4,-4,-4,2,2,1,44300,2,0,4610,2020,-4,-4,-4,1,3,2,1,52500,2,0
0,-4,7297,1,10,1,7750,-4,-4,-4,-4,4,3,5,1,2,1,56000,47,2,0,7750,-4,-4,-4,-4,1,4,4,3,2,1,50000,2,0,7750,-4,-4,-4,-4,4,4,4,3,2,2,56000,2,1,7750,-4,-4,-4,-4,3,4,4,1,2,1,79000,2,0,7750,-4,-4,-4,-4,4,3,4,1,2,1,0,2,0,-4,-4,-4,-4,-4,-4,0,2,1,-3,2,0,-4,-4,-4,-4,-4,4,2,2,1,42000,2,0
0,-4,7298,1,10,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,7299,1,10,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,7300,1,13,2,4720,4010,-4,-4,-4,4,5,3,7,2,2,17000,46,3,1,4010,4720,-4,-4,-4,3,3,4,1,1,2,9000,3,1,4010,-4,-4,-4,-4,4,3,3,7,2,2,19700,3,1,4010,-4,-4,-4,-4,4,3,3,4,1,2,27000,3,1,4010,-4,-4,-4,-4,3,4,4,3,1,1,26000,3,0,310,-4,-4,-4,-4,4,-4,-4,1,32000,2,0,4020,-4,-4,-4,-4,3,5,2,1,40000,3,0
0,-4,7301,1,10,1,4240,-4,-4,-4,-4,4,4,4,0,2,1,19000,44,1,0,8740,-4,-4,-4,-4,3,1,1,0,2,1,11989,1,0,-4,-4,-4,-4,-4,3,1,1,0,1,1,16452,1,0,4220,-4,-4,-4,-4,4,5,4,1,1,1,11808,1,0,4220,-4,-4,-4,-4,4,5,1,0,1,1,31496,1,0,4220,-4,-4,-4,-4,4,0,1,1,32988,1,0,4220,-4,-4,-4,-4,3,0,2,1,-3,1,0
0,-4,7302,1,13,2,2020,2200,-4,-4,-4,1,1,1,0,2,2,37416,50,2,0,2020,-4,-4,-4,-4,4,1,1,0,2,1,27380,3,0,2300,2020,-4,-4,-4,1,1,1,0,2,1,-2,3,0,-4,-4,-4,-4,-4,1,2,1,3,2,1,32552,3,0,-4,-4,-4,-4,-4,4,2,1,0,2,3,16160,3,0,-4,-4,-4,-4,-4,-4,0,2,1,14784,3,0,-4,-4,-4,-4,-4,4,0,2,1,15600,3,0
-4,-4,7303,1,13,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,2000,7304,1,13,2,2020,3600,-4,-4,-4,4,1,1,0,2,3,90000,48,3,1,2020,3600,-4,-4,-4,1,1,1,0,2,2,95000,3,0,2020,3600,-4,-4,-4,1,2,1,0,2,2,99000,3,0,4610,4200,2020,-4,-4,4,3,3,2,2,2,140000,3,0,4610,4200,-4,-4,-4,3,2,2,0,2,2,-2,3,0,4610,4200,-4,-4,-4,-4,1,1,2,-3,3,0,4610,-4,-4,-4,-4,1,0,2,2,-3,3,0
