"H40-CHRC-2","H40-CHRC-2A~Y","CASEID","SAMPLE_RACE","SAMPLE_SEX","C1DOB~Y","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH08","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH10","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH12","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH14","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH16","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH20","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH22"
-4,-4,26,3,1,1995,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,9030,-4,-4,-4,-4,1,0,2,5,95000,47,2,3,9030,-4,-4,-4,-4,4,0,2,5,105000,50,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,27,3,2,1988,5140,-4,-4,-4,-4,1,0,2,4,265874,47,2,2,5120,5140,-4,-4,-4,1,0,2,4,87000,49,2,2,5120,-4,5120,5120,-4,1,7,2,3,497763,52,2,1,5120,-4,-4,-4,-4,1,2,2,2,143502,54,2,1,120,3260,-4,-4,-4,1,0,2,3,922631,56,2,1,120,3260,-4,-4,-4,-4,0,2,2,-3,60,2,0,120,2060,-4,-4,-4,1,0,2,2,773981,62,2,0
-4,-4,28,3,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4700,7020,-4,-4,-4,1,0,2,1,17721,46,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,29,3,2,-4,120,-4,-4,-4,-4,1,0,2,2,144500,47,3,0,4150,-4,-4,-4,-4,1,0,2,2,113000,49,3,0,4150,-4,-4,-4,-4,1,0,2,2,53410,52,3,0,4150,-4,-4,-4,-4,1,0,2,2,-2,54,3,0,-4,-4,-4,-4,-4,1,0,2,2,36604,56,3,0,-4,-4,-4,-4,-4,-4,0,2,2,61404,60,3,0,-4,-4,-4,-4,-4,1,0,2,2,58456,62,2,0
0,-4,30,3,2,1982,-4,-4,-4,-4,-4,1,0,1,4,48000,49,-4,2,-4,-4,-4,-4,-4,4,0,2,5,-2,51,-4,3,-4,-4,-4,-4,-4,1,1,2,5,34084,53,-4,3,-4,-4,-4,-4,-4,4,0,2,4,21882,56,-4,2,-4,-4,-4,-4,-4,4,0,2,3,0,58,-4,1,-4,-4,-4,-4,-4,-4,1,2,3,19200,61,-4,1,-4,-4,-4,-4,-4,4,0,2,3,-3,64,-4,1
0,-4,31,1,1,1989,7120,-4,-4,-4,-4,3,1,2,4,76000,44,3,2,5240,-4,-4,-4,-4,3,1,2,3,37641,46,2,1,5240,-4,-4,-4,-4,3,1,2,3,74000,48,2,1,3920,5240,-4,-4,-4,3,0,2,3,51000,51,2,1,3920,3920,-4,-4,-4,3,0,2,2,68000,53,2,0,3730,-4,-4,-4,-4,-4,2,2,2,89000,57,2,0,3730,-4,-4,-4,-4,1,0,2,2,55921,59,3,0
0,-4,32,1,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2320,4760,-4,-4,-4,3,2,2,2,440692,52,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,33,1,1,-4,-4,-4,-4,-4,-4,3,28,2,1,6684,45,3,0,-4,-4,-4,-4,-4,3,3,2,1,84816,48,3,0,-4,-4,-4,-4,-4,3,4,1,1,0,50,3,0,-4,-4,-4,-4,-4,4,14,2,1,9972,52,3,0,-4,-4,-4,-4,-4,2,7,2,1,4176,54,3,0,-4,-4,-4,-4,-4,-4,6,1,1,-3,58,3,0,-4,-4,-4,-4,-4,1,0,2,1,-3,60,3,0
0,-4,34,3,1,1988,1920,600,1810,-4,-4,1,0,2,5,45600,49,2,3,430,-4,-4,-4,-4,1,1,2,1,30000,51,2,0,7200,430,-4,-4,-4,1,0,2,1,53000,54,2,0,7200,-4,-4,-4,-4,1,1,2,1,-2,56,2,0,-4,-4,-4,-4,-4,1,1,2,1,24000,57,2,0,-4,-4,-4,-4,-4,-4,3,2,1,36912,61,2,0,-4,-4,-4,-4,-4,1,2,2,1,-3,63,2,0
-4,-4,35,3,2,1990,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,36,3,1,-4,6230,-4,-4,-4,-4,3,0,2,1,30000,45,2,0,6230,-4,-4,-4,-4,3,0,2,2,-2,47,2,0,6260,-4,-4,-4,-4,4,0,2,2,66510,50,2,0,6260,-4,-4,-4,-4,4,0,2,1,28000,52,2,0,6260,-4,-4,-4,-4,4,0,2,1,65000,54,2,0,7340,6260,-4,-4,-4,-4,0,2,1,-3,58,2,0,7340,-4,-4,-4,-4,4,0,2,1,-3,60,2,0
0,-4,37,3,2,1990,5700,-4,-4,-4,-4,1,0,2,3,128400,49,2,1,5700,-4,-4,-4,-4,1,0,2,3,168000,51,2,1,5700,-4,-4,-4,-4,1,0,2,3,124100,54,2,1,5700,-4,-4,-4,-4,1,0,1,3,165300,56,2,1,800,-4,-4,-4,-4,1,0,2,2,180000,58,2,0,800,-4,-4,-4,-4,-4,-4,-4,2,89000,62,3,0,-4,-4,-4,-4,-4,4,0,1,4,55094,63,3,1
0,-4,38,3,2,-4,620,-4,-4,-4,-4,1,2,2,2,127000,45,2,0,620,-4,-4,-4,-4,1,1,2,2,112500,47,2,0,620,-4,-4,-4,-4,1,0,2,2,128000,50,2,0,620,-4,-4,-4,-4,1,0,1,2,126000,52,2,0,430,-4,-4,-4,-4,1,0,2,2,165040,54,2,0,430,-4,-4,-4,-4,-4,0,2,2,169000,58,2,0,5400,430,-4,-4,-4,1,0,2,2,110000,60,2,0
0,-4,39,3,1,1996,20,-4,-4,-4,-4,4,1,2,3,-1,49,2,1,20,-4,-4,-4,-4,1,0,2,3,75000,50,2,1,20,-4,-4,-4,-4,3,0,2,3,94000,53,2,1,20,-4,-4,-4,-4,3,0,2,3,100000,55,2,1,20,-4,-4,-4,-4,4,1,2,3,88000,57,2,1,20,-4,-4,-4,-4,-4,1,2,3,-3,61,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,40,3,1,2003,620,620,-4,-4,-4,3,0,2,3,153000,48,2,1,8600,620,-4,-4,-4,1,0,2,4,147693,50,2,2,8600,-4,-4,-4,-4,3,0,2,4,158110,52,2,2,4620,620,-4,-4,-4,3,0,2,4,193220,54,2,2,4620,-4,-4,-4,-4,3,0,2,4,194600,57,2,2,4760,4850,-4,-4,-4,-4,0,2,4,205000,60,2,2,4430,-4,-4,-4,-4,1,1,2,4,152150,62,2,2
