"PUBID","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH"
128,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
129,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5
130,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5
131,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-5,-5
133,-4,-5,-4,-5,-4,-5,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4
134,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5
135,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5
136,-4,-5,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5
137,-4,-4,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4
138,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
139,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
140,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5
141,-4,-5,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
142,-4,-4,-4,1,1,-5,-5,-5,1,-5,1,-5,1,1,1,2,-5
143,-4,-4,-4,-4,1,1,1,-5,1,1,-5,2,2,3,3,3,3
144,-4,-4,-4,-4,-4,-4,-4,0,2,0,0,0,2,0,0,0,0
145,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
146,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
147,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
148,-4,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0
150,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
151,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
152,-4,-4,-4,-4,-4,-5,-4,-5,-4,-4,-4,0,1,1,1,1,1
153,-4,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4
154,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
156,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
157,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,2,2
158,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
159,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1
160,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,1,1,1,1,1,1,1
161,-4,-4,1,0,0,0,1,1,1,0,0,-5,0,0,0,1,1
162,-4,-5,-5,1,1,1,1,1,1,1,1,1,2,-3,3,3,3
